date,primary_type,arrest,domestic,district,year,latitude,longitude
2024-06-01 01:56:00 UTC,CRIMINAL DAMAGE,false,false,22,2024,41.700321227,-87.660242735
2024-10-01 12:00:00 UTC,DECEPTIVE PRACTICE,false,false,5,2024,41.699967403,-87.616703714
2022-04-29 07:30:00 UTC,THEFT,false,false,9,2022,41.844911779,-87.650328563
2020-06-22 23:00:00 UTC,CRIMINAL DAMAGE,false,false,4,2020,41.751565425,-87.579306695
2021-07-14 17:30:00 UTC,THEFT,false,false,12,2021,41.887368575,-87.649028162
2024-07-07 00:26:00 UTC,OTHER OFFENSE,false,true,6,2024,41.748978737,-87.600269164
2024-06-20 12:00:00 UTC,OTHER OFFENSE,false,false,4,2024,41.698344385,-87.540085534
2023-10-07 23:00:00 UTC,THEFT,false,false,19,2023,41.943108594,-87.649366085
2024-06-10 19:26:00 UTC,BATTERY,false,true,8,2024,41.788850489,-87.711475147
2020-09-25 06:30:00 UTC,CRIMINAL TRESPASS,false,false,12,2020,41.859831225,-87.637802463
2021-07-05 16:00:00 UTC,THEFT,false,false,5,2021,41.654386583,-87.603600504
2020-05-29 15:47:00 UTC,OTHER OFFENSE,false,false,20,2020,41.973330971,-87.653595498
2020-10-17 21:55:00 UTC,BATTERY,false,false,15,2020,41.890035589,-87.765206417
2022-03-20 13:00:00 UTC,OTHER OFFENSE,false,false,25,2022,41.92968064,-87.749699319
2021-03-04 18:30:00 UTC,OTHER OFFENSE,false,false,10,2021,41.862983609,-87.703793233
2023-08-10 10:30:00 UTC,MOTOR VEHICLE THEFT,false,false,12,2023,41.893990113,-87.702155577
2022-05-27 08:49:00 UTC,DECEPTIVE PRACTICE,false,false,25,2022,41.909943506,-87.72112059
2024-11-14 15:00:00 UTC,DECEPTIVE PRACTICE,false,false,15,2024,41.889313044,-87.754602605
2025-04-15 15:39:00 UTC,ASSAULT,false,false,14,2025,41.912443933,-87.668397612
2025-04-06 15:53:00 UTC,THEFT,true,false,1,2025,41.881446731,-87.627752399
2022-09-24 04:25:00 UTC,WEAPONS VIOLATION,false,false,6,2022,41.747721399,-87.656090635
2020-06-20 04:00:00 UTC,BATTERY,false,false,11,2020,41.890758197,-87.72105775
2025-10-14 22:30:00 UTC,BATTERY,true,true,3,2025,41.759823949,-87.611496928
